Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,Decade_group,Calculated_Sales,Top_Region,Sales_Category,Game_Age,NA_Percentage,EU_Percentage,Global_Sales_Scaler,NA_Percentage_Scaler,EU_Percentage_Scaler,Global_Sales_Standard_Scaler,NA_Percentage_Standard_Scaler,EU_Percentage_Standard_Scaler
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,2000,00s,82.74000000000001,NA_Sales,Blockbuster,20,50.14503263234228,35.07372492144066,1.0000000000000002,0.5014503263234228,0.3507372492144066,52.782079813278976,0.13444367834151785,0.4895430209297551
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,1980,80s,40.24,NA_Sales,High,41,72.26640159045725,8.896620278330019,0.4862806720657562,0.7226640159045725,0.0889662027833002,25.492597715297364,0.7836592881127715,-0.5622146111778483
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,2000,00s,35.830000000000005,NA_Sales,High,18,44.24902289223897,35.95756560580681,0.4328538619605948,0.4424902289223897,0.3595756560580681,22.654491577107272,-0.038591795452442026,0.5250544419987756
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,2000,00s,33.0,NA_Sales,High,17,47.72727272727273,33.36363636363636,0.3987670736129579,0.4772727272727273,0.3336363636363636,20.843754176723554,0.06348751491319575,0.42083417337873635
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,1990,90s,31.380000000000003,NA_Sales,High,30,35.92604399107427,28.339177558176605,0.37906442644747984,0.35926043991074275,0.28339177558176604,19.79712227508332,-0.2828537049510736,0.2189587953375158
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,1980,80s,30.259999999999998,NA_Sales,High,37,76.66886979510905,7.468605419695967,0.36564728635319727,0.7666886979510905,0.07468605419695967,19.084385213230153,0.9128624619937935,-0.6195901516284881
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,2000,00s,30.009999999999998,NA_Sales,High,20,37.92069310229923,30.756414528490506,0.36262540795358406,0.37920693102299236,0.30756414528490506,18.92385884794791,-0.22431495260371667,0.3160798278887383
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,2000,00s,29.009999999999998,NA_Sales,High,20,48.345968297725705,31.702274293590627,0.35065876949111574,0.48345968297725705,0.31702274293590627,18.28817444143022,0.08164492744923398,0.3540830845670652
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,2000,00s,28.61,NA_Sales,High,17,50.978336827393434,24.6680642907058,0.34582376405173465,0.5097833682739343,0.24668064290705802,18.031332256978626,0.15889940222277532,0.07145885407070802
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,1980,80s,28.31,NA_Sales,High,42,95.12539738608265,2.2253620628753095,0.34207663483621426,0.9512539738608266,0.022253620628753096,17.832279564028642,1.4545226927381634,-0.8302559717303674
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,2000,00s,24.75,EU_Sales,High,21,36.631663974151856,44.4264943457189,0.29916596156170683,0.36631663974151857,0.44426494345718903,15.552805177020769,-0.26214524389480404,0.8653235649371752
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,2000,00s,23.43,NA_Sales,High,21,41.88727583262169,32.322801024765155,0.2829686933397801,0.4188727583262169,0.3232280102476516,14.692383859107936,-0.10790409978306664,0.3790149375866221
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,1990,90s,23.09,NA_Sales,High,27,38.96103896103896,26.75324675324675,0.27910068898827517,0.3896103896103896,0.2675324675324675,14.486910111546663,-0.19378299175022962,0.1552384240122431
14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,2000,00s,22.72,NA_Sales,High,19,39.348591549295776,35.34330985915493,0.27450743382086307,0.39348591549295775,0.3534330985915493,14.24291003631765,-0.18240913914734727,0.5003745479304641
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,2000,00s,22.0,NA_Sales,High,17,41.31818181818181,39.04545454545455,0.2658044240299771,0.41318181818181815,0.3904545454545455,13.780594104304784,-0.12460581106961979,0.6491212860464002
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,2010,10s,21.82,NA_Sales,High,16,68.60678276810266,22.639780018331805,0.2636286715822556,0.6860678276810266,0.22639780018331807,13.665015121301568,0.6762571797810569,-0.01003463012616261
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2010,10s,21.39,EU_Sales,High,13,32.757009345794394,43.3177570093458,0.25855191587090537,0.32757009345794397,0.433177570093458,13.395330827627397,-0.3758582004466779,0.8207761265771437
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,2000,00s,20.810000000000002,Other_Sales,High,22,45.31475252282557,1.9221528111484865,0.25142028284781825,0.45314752522825574,0.019221528111484865,13.0164886055613,-0.007314874332297571,-0.8424384743018751
19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,1990,90s,20.62,NA_Sales,High,36,62.00873362445415,18.19505094614265,0.24900278012812768,0.6200873362445415,0.18195050946142652,12.888067513335503,0.48261832740238936,-0.18861731862665768
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,2000,00s,20.220000000000002,EU_Sales,High,21,23.491592482690407,45.79624134520277,0.24428864982473109,0.23491592482690407,0.45796241345202776,12.637646383495202,-0.6477786801400598,0.9203579883543122
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,2000,00s,18.35,NA_Sales,High,20,34.96732026143791,24.618736383442265,0.22180587453160888,0.3496732026143791,0.24618736383442266,11.4433302257953,-0.31099022814349175,0.06947693117863701
22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,1980,80s,18.14,NA_Sales,High,37,59.702315325248065,14.939360529217199,0.2191466215399493,0.5970231532524807,0.149393605292172,11.302067024346925,0.414929805713619,-0.3194261796701237
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,1980,80s,17.28,NA_Sales,High,38,55.20833333333333,19.90740740740741,0.2087513598452799,0.5520833333333333,0.1990740740740741,10.749856327776005,0.28304089482812494,-0.11981735004426657
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,2010,10s,16.380000000000003,NA_Sales,High,13,58.7912087912088,32.417582417582416,0.19787259760667233,0.587912087912088,0.3241758241758242,10.17196141275992,0.3881907469698839,0.38282311479477554
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,2000,00s,16.150000000000002,NA_Sales,High,24,52.07430340557276,33.99380804953561,0.1950924694790282,0.5207430340557276,0.3399380804953561,10.024277156700256,0.19106371410097828,0.44615354651869454
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,2000,00s,15.84,NA_Sales,High,24,38.23343848580441,24.605678233438486,0.19146621539949235,0.38233438485804416,0.24605678233438485,9.831645518361562,-0.21513653397872567,0.06895227388307568
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,2010,10s,15.32,JP_Sales,High,16,36.357702349869456,21.409921671018274,0.1850598331923124,0.3635770234986946,0.21409921671018275,9.491329623963203,-0.27018544083285,-0.0594485328794864
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,2000,00s,15.3,EU_Sales,High,21,22.483660130718953,35.032679738562095,0.18481808292034332,0.22483660130718952,0.35032679738562095,9.478487514740625,-0.677359372805704,0.4878938857430208
